Month,Service description,Service ID,Cost (R$),Discounts (R$),Promotions & others (R$),Unrounded subtotal (R$),Subtotal (R$)
2024-12,Compute Engine,6F81-5844-456A,84948.97,-27983.53,0.00,56965.437449,56965.44
2024-12,Cloud SQL,9662-B51E-5089,22865.53,-12517.73,0.00,10347.805444,10347.81
2024-12,Networking,E505-1604-58F8,6442.83,-779.65,0.00,5663.187886,5663.19
2024-12,Cloud Logging,5490-F7B7-8DF6,4656.22,0.00,0.00,4656.215716,4656.22
2024-12,Cloud Composer,1992-3666-B975,4086.82,0.00,0.00,4086.815188,4086.82
2024-12,Support,2062-016F-44A2,3442.02,-162.64,0.00,3279.375216,3279.38
2024-12,Cloud Pub/Sub,A1E8-BE35-7EBC,1869.53,0.00,0.00,1869.530279,1869.53
2024-12,Artifact Registry,149C-F9EC-3994,1817.29,0.00,0.00,1817.294044,1817.29
2024-12,Cloud Storage,95FF-2EF5-5EA1,1620.82,0.00,0.00,1620.823589,1620.82
2024-12,BigQuery,24E6-581D-38E5,858.90,0.00,0.00,858.896534,858.90
2024-12,App Engine,F17B-412E-CB64,822.99,0.00,0.00,822.994386,822.99
2024-12,Kubernetes Engine,CCD8-9BF1-090E,1139.11,-417.26,0.00,721.853624,721.85
2024-12,Cloud Monitoring,58CD-E7C3-72CA,638.86,0.00,0.00,638.857132,638.86
2024-12,Secret Manager,EE82-7A5E-871C,619.49,0.00,0.00,619.492084,619.49
2024-12,Backup and DR Service,3DAD-299B-0D94,447.60,0.00,0.00,447.597266,447.60
2024-12,Cloud Dataflow,57D6-8E6B-2DE0,266.74,0.00,0.00,266.740913,266.74
2024-12,Vertex AI,C7E2-9256-1C43,199.65,0.00,0.00,199.648138,199.65
2024-12,Cloud Key Management Service (KMS),EE2F-D110-890C,147.86,0.00,0.00,147.862670,147.86
2024-12,Cloud DNS,FA26-5236-B8B5,15.42,0.00,0.00,15.423483,15.42
2024-12,VM Manager,5E18-9A83-2867,48.79,-48.79,0.00,0.000000,0.00
2024-12,Dataplex,51C6-B3F5-9B38,-0.00,0.00,0.00,-0.000016,-0.00
2024-11,Compute Engine,6F81-5844-456A,81067.51,-26801.19,0.00,54266.325324,54266.33
2024-11,Cloud SQL,9662-B51E-5089,34924.22,-12130.76,0.00,22793.464225,22793.46
2024-11,Cloud Logging,5490-F7B7-8DF6,12533.18,0.00,0.00,12533.180217,12533.18
2024-11,Networking,E505-1604-58F8,6025.20,-739.68,0.00,5285.523070,5285.52
2024-11,Cloud Composer,1992-3666-B975,3960.89,0.00,0.00,3960.890251,3960.89
2024-11,Support,2062-016F-44A2,3878.97,-56.66,0.00,3822.308474,3822.31
2024-11,Artifact Registry,149C-F9EC-3994,1626.95,0.00,0.00,1626.953228,1626.95
2024-11,Cloud Storage,95FF-2EF5-5EA1,1404.61,0.00,0.00,1404.613642,1404.61
2024-11,Cloud Pub/Sub,A1E8-BE35-7EBC,1153.52,0.00,0.00,1153.523958,1153.52
2024-11,BigQuery,24E6-581D-38E5,994.46,0.00,0.00,994.455130,994.46
2024-11,App Engine,F17B-412E-CB64,822.99,0.00,0.00,822.994431,822.99
2024-11,Kubernetes Engine,CCD8-9BF1-090E,1103.90,-417.26,0.00,686.638978,686.64
2024-11,Cloud Monitoring,58CD-E7C3-72CA,571.15,0.00,0.00,571.154492,571.15
2024-11,Secret Manager,EE82-7A5E-871C,561.40,0.00,0.00,561.404778,561.40
2024-11,Backup and DR Service,3DAD-299B-0D94,440.34,0.00,0.00,440.335440,440.34
2024-11,Cloud Dataflow,57D6-8E6B-2DE0,244.05,0.00,0.00,244.052383,244.05
2024-11,Vertex AI,C7E2-9256-1C43,205.54,0.00,0.00,205.540475,205.54
2024-11,Cloud Key Management Service (KMS),EE2F-D110-890C,137.55,0.00,0.00,137.551805,137.55
2024-11,Cloud DNS,FA26-5236-B8B5,9.96,0.00,0.00,9.959507,9.96
2024-11,VM Manager,5E18-9A83-2867,37.54,-37.54,0.00,0.000000,0.00
2024-11,Dataplex,51C6-B3F5-9B38,-0.00,0.00,0.00,-0.000183,-0.00
,,,,Subtotal,206566.720650,206566.72
,,,,Tax,0.000000,0.00
,,,,Total,206566.720650,206566.72
